确认收货时间,账户支出时间,淘客结算时间,创建时间,计划名称,商品ID,商品名称,实际成交价格,成交商品数,佣金比例,佣金,服务费率,服务费金额,淘宝父订单编号,淘宝子订单编号,来源或淘客昵称,团长名称,是否预售未付尾款订单,备注
2022-09-14 17:16:16	,2022-09-14 18:02:49	,2022-09-14 18:02:49	,2022-08-25 15:34:47	,通用计划,651076816737	,【进口日价】SERUMKIND韩国水润滋养全方位修护肌肤壁垒黑郁金香精华液30ml,420.31,2,3%,12.61,,0.00,2843932287477631909	,2843932287478631909	,taobaoss137,,,
2022-09-14 12:54:13	,2022-09-14 14:33:13	,2022-09-14 14:33:13	,2022-08-25 10:58:40	,通用计划,651523021855	,【进口日价】SERUMKIND韩国阳光葡萄清颜精华液30ml,218.23,1,3%,6.55,,0.00,2842904774414004805	,2842904774415004805	,taobaoss137,,,
2022-09-13 20:25:00	,2022-09-13 21:07:38	,2022-09-13 21:07:38	,2022-09-07 22:11:02	,通用计划,651523021855	,【99价】SERUMKIND韩国阳光葡萄清颜精华液30ml,161.29,1,3%,4.84,,0.00,2874774494261815744	,2874774494262815744	,guanditk027,,,
2022-09-13 17:51:15	,2022-09-13 18:39:02	,2022-09-13 18:39:02	,2022-09-06 22:30:47	,通用计划,651888946198	,SERUMKIND韩国保湿滋润修护手部肌肤屏障黑郁金香护手精华50ml,93.23,1,3%,2.8,,0.00,2872786575530532721	,2872786575531532721	,ztwl8811,,,
2022-09-13 14:03:38	,2022-09-13 14:36:38	,2022-09-13 14:36:38	,2022-09-06 20:33:52	,通用计划,653231788457	,SUREBASE烁贝思韩国焕彩保湿水光气垫正装(含2个粉扑/无替换装),135.17,1,3%,4.06,,0.00,2870384284537990661	,2870384284539990661	,t_1509512293497_0706@alimama,,,
2022-09-13 14:03:38	,2022-09-13 14:36:38	,2022-09-13 14:36:38	,2022-09-06 20:33:52	,通用计划,654432975269	,SUREBASE烁贝思韩国轻盈无厚重半哑光妆感轻透丝滑粉底液 30ml,90.39,1,3%,2.71,,0.00,2870384284537990661	,2870384284538990661	,t_1509512293497_0706@alimama,,,
2022-09-13 11:05:49	,2022-09-13 12:33:21	,2022-09-13 12:33:21	,2022-08-24 09:03:18	,通用计划,652262083118	,【进口日价】SERUMKIND韩国补水滋润呵护干皮适用桦树茸深层营养精华液30ml,212.58,1,3%,6.38,,0.00,2841044331486610912	,2841044331488610912	,tb49445670@alimama,,,
2022-09-13 11:05:49	,2022-09-13 11:35:55	,2022-09-13 11:35:55	,2022-08-24 09:03:18	,通用计划,651523021855	,【进口日价】SERUMKIND韩国阳光葡萄清颜精华液30ml,177.03,1,3%,5.31,,0.00,2841044331486610912	,2841044331487610912	,tb49445670@alimama,,,
2022-09-12 20:57:04	,2022-09-12 21:34:57	,2022-09-12 21:34:57	,2022-09-06 20:10:29	,营销计划,661897331571	,SERUMKIND韩国保湿滋润抗衰老软化角质青春焕彩唇部精华3.9g,61.98,1,10%,6.2,5%,3.10,2870941529923665739	,2870941529924665739	,taobaoss215,洛克联盟,,
2022-09-12 11:48:38	,2022-09-12 13:32:50	,2022-09-12 13:32:50	,2022-09-08 22:49:56	,营销计划,661897331571	,【99价】SERUMKIND韩国保湿滋润抗衰老软化角质青春焕彩唇部精华3.9g,123.31,2,10%,12.33,5%,6.17,1666180239908723172	,1666180239909723172	,广州蜜源03,乐享联盟,,
2022-09-12 10:04:24	,2022-09-12 11:37:40	,2022-09-12 11:37:40	,2022-09-06 21:36:54	,通用计划,651523021855	,SERUMKIND韩国阳光葡萄清颜精华液30ml,163.06,1,3%,4.89,,0.00,2871773885366493282	,2871773885367493282	,tb63592549,,,
2022-09-11 13:55:41	,2022-09-11 15:36:59	,2022-09-11 15:36:59	,2022-09-06 21:14:08	,营销计划,653231788457	,SUREBASE烁贝思韩国焕彩保湿水光气垫正装(含2个粉扑/无替换装),150.08,1,8%,12.01,4%,6.00,2872046550747986781	,2872046550748986781	,taobaoss215,,,
2022-09-11 11:22:41	,2022-09-11 12:38:33	,2022-09-11 12:38:33	,2022-09-06 20:02:11	,通用计划,651523021855	,SERUMKIND韩国阳光葡萄清颜精华液30ml,164.23,1,3%,4.93,,0.00,2869962292016541554	,2869962292017541554	,逛逛公域商业化测试@alimama,,,
2022-09-09 15:31:36	,2022-09-09 16:02:37	,2022-09-09 16:02:37	,2022-09-06 23:14:40	,通用计划,654434291940	,SUREBASE烁贝思韩国焕彩保湿水光妆容气垫替换装13ml,73.3,1,3%,2.2,,0.00,1664218563654786875	,1664218563655786875	,站外推广服务,,,
2022-09-09 15:13:12	,2022-09-09 16:02:36	,2022-09-09 16:02:37	,2022-09-06 20:16:04	,通用计划,654432975269	,SUREBASE烁贝思韩国轻盈无厚重半哑光妆感轻透丝滑粉底液 30ml,91.47,1,3%,2.74,,0.00,1663990790494888598	,1663990790496888598	,tb_lm0562@service.taobao.com,,,
2022-09-09 15:13:12	,2022-09-09 16:02:36	,2022-09-09 16:02:37	,2022-09-06 20:16:04	,通用计划,651523021855	,SERUMKIND韩国阳光葡萄清颜精华液30ml,171.55,1,3%,5.15,,0.00,1663990790494888598	,1663990790495888598	,tb_lm0562@service.taobao.com,,,
2022-09-09 10:53:24	,2022-09-09 12:04:11	,2022-09-09 12:04:11	,2022-09-06 20:08:07	,营销计划,651523021855	,SERUMKIND韩国阳光葡萄清颜精华液30ml,170.51,1,8%,13.64,4%,6.82,1664080573706924589	,1664080573707924589	,taobaoss215,,,
2022-09-09 11:31:16	,2022-09-09 12:01:53	,2022-09-09 12:01:53	,2022-08-19 22:55:23	,通用计划,651523021855	,SERUMKIND韩国阳光葡萄清颜精华液30ml,228.23,1,3%,6.85,,0.00,1648402395473901597	,1648402395473901597	,逛逛公域商业化测试@alimama,,,
2022-09-09 00:36:48	,2022-09-09 02:33:31	,2022-09-09 02:33:31	,2022-09-06 22:03:25	,营销计划,653231788457	,SUREBASE烁贝思韩国焕彩保湿水光气垫正装(含2个粉扑/无替换装),150.08,1,8%,12.01,4%,6.00,2872644087699208350	,2872644087700208350	,taobaoss215,,,
2022-09-06 21:35:39	,2022-09-06 22:34:31	,2022-09-06 22:34:31	,2022-08-26 10:58:03	,通用计划,651523021855	,【进口日价】SERUMKIND韩国阳光葡萄清颜精华液30ml,163.83,1,3%,4.91,,0.00,2845336645721507102	,2845336645723507102	,tb_lm0562@service.taobao.com,,,
2022-09-06 21:35:39	,2022-09-06 22:34:31	,2022-09-06 22:34:31	,2022-08-26 10:58:03	,通用计划,661897331571	,【进口日价】SERUMKIND韩国保湿滋润抗衰老软化角质青春焕彩唇部精华3.9g,67.17,1,3%,2.02,,0.00,2845336645721507102	,2845336645722507102	,tb_lm0562@service.taobao.com,,,
2022-09-05 11:31:32	,2022-09-05 12:32:07	,2022-09-05 12:32:07	,2022-08-16 00:23:19	,通用计划,651888946198	,SERUMKIND韩国保湿滋润修护手部肌肤屏障黑郁金香护手精华50ml,136.57,1,3%,4.1,,0.00,2823354254913601518	,2823354254914601518	,taobaoss137,,,
2022-09-05 11:31:32	,2022-09-05 12:02:13	,2022-09-05 12:02:14	,2022-08-16 00:23:19	,通用计划,661897331571	,SERUMKIND韩国保湿滋润抗衰老软化角质青春焕彩唇部精华3.9g,96.7,1,3%,2.9,,0.00,2823354254913601518	,2823354254915601518	,taobaoss137,,,
2022-09-01 19:15:43	,2022-09-01 20:04:03	,2022-09-01 20:04:03	,2022-08-30 10:38:00	,通用计划,651096752278	,SERUMKIND韩国水润收缩毛孔控油金木瓜毛孔精华液30ml,228.23,1,3%,6.85,,0.00,2852689104899650726	,2852689104902650726	,taobaoss137,,,
2022-09-01 19:15:43	,2022-09-01 20:04:03	,2022-09-01 20:04:03	,2022-08-30 10:38:00	,通用计划,652259715126	,SERUMKIND韩国紧致肌肤增加弹性南极深层精华液30ml,255.72,1,3%,7.67,,0.00,2852689104899650726	,2852689104901650726	,taobaoss137,,,
2022-09-01 19:15:43	,2022-09-01 20:04:03	,2022-09-01 20:04:03	,2022-08-30 10:38:00	,通用计划,651520353952	,SERUMKIND韩国4效合一多重护理迷你精华4件套6ml * 4个,191.56,1,3%,5.75,,0.00,2852689104899650726	,2852689104900650726	,taobaoss137,,,
2022-09-01 10:24:06	,2022-09-01 11:01:59	,2022-09-01 11:01:59	,2022-08-11 22:48:10	,营销计划,653231788457	,【88狂欢价】SUREBASE烁贝思韩国焕彩保湿水光气垫正装(含2个粉扑/无替换装),147.79,1,10%,14.78,5%,7.39,2815520187158950919	,2815520187159950919	,taobaoss215,达哥联盟,,
2022-09-01 10:22:31	,2022-09-01 11:00:05	,2022-09-01 11:00:05	,2022-08-11 23:34:43	,通用计划,654427531201	,【88狂欢价】SUREBASE烁贝思韩国粉底液搭配神器细腻均匀上妆酷彩无痕粉底刷,72.6,1,3%,2.18,,0.00,1641758198566193999	,1641758198567193999	,站外推广服务,,,
2022-09-01 10:22:31	,2022-09-01 11:00:05	,2022-09-01 11:00:05	,2022-08-11 23:34:43	,通用计划,654434715560	,【88狂欢价】SUREBASE烁贝思韩国水光水润妆感焕彩保湿粉底液30ml,102.69,1,3%,3.08,,0.00,1641758198566193999	,1641758198569193999	,站外推广服务,,,
2022-09-01 10:22:31	,2022-09-01 11:00:05	,2022-09-01 11:00:05	,2022-08-11 23:34:43	,通用计划,654432975269	,【88狂欢价】SUREBASE烁贝思韩国轻盈无厚重半哑光妆感轻透丝滑粉底液 30ml,102.67,1,3%,3.08,,0.00,1641758198566193999	,1641758198568193999	,站外推广服务,,,
2022-09-01 10:27:17	,2022-09-01 10:59:48	,2022-09-01 10:59:48	,2022-08-11 22:04:28	,营销计划,653231788457	,【88狂欢价】SUREBASE烁贝思韩国焕彩保湿水光气垫正装(含2个粉扑/无替换装),149.83,1,10%,14.98,5%,7.49,1640983656897078380	,1640983656898078380	,应聪明,达哥联盟,,
